Dia da Semana;Horário Início;Horário Fim;Duração;Atividade;Categoria;Observações / Deslocamento
Terça-Feira;00:45;07:30;6h45;Dormir;Descanso;Descanso noturno

Quarta-Feira;07:30;08:30;1h00;Acordar;Pessoal;Café da manhã
Quarta-Feira;08:30;10:00;1h30;Academia;Saúde;Treino de 1 hora
Quarta-Feira;10:00;10:45;0h45;Banho;Pessoal;Banho e arrumação
Quarta-Feira;10:50;11:30;0h40;Almoço;Alimentação;Pegar marmita e almoçar às 11h
Quarta-Feira;11:30;12:35;1h05;Faculdade EAD;Estudos;Revisão e tarefas da faculdade
Quarta-Feira;12:35;13:00;0h25;Deslocamento;Deslocamento;Caminhada para o trabalho
Quarta-Feira;13:00;18:00;5h00;Trabalho;Trabalho;Primeiro turno
Quarta-Feira;18:00;19:00;1h00;Janta;Alimentação;Pausa de janta no trabalho
Quarta-Feira;19:00;21:00;2h00;Trabalho;Trabalho;Segundo turno até 21h
Quarta-Feira;21:00;21:25;0h25;Deslocamento;Deslocamento;Volta para casa a pé
Quarta-Feira;21:30;22:45;1h15;Banho e Descanso;Pessoal;Banho e descompressão
Quarta-Feira;23:00;00:30;1h30;Namorada;Relacionamento;Visita e ligação
Quarta-Feira;00:45;07:30;6h45;Dormir;Descanso;Descanso noturno

Quinta-Feira;07:30;08:30;1h00;Acordar;Pessoal;Café da manhã
Quinta-Feira;08:30;10:00;1h30;Academia;Saúde;Treino de 1 hora
Quinta-Feira;10:00;10:45;0h45;Banho;Pessoal;Banho e preparação
Quinta-Feira;10:50;11:30;0h40;Almoço;Alimentação;Pegar marmita e almoçar às 11h
Quinta-Feira;11:30;12:35;1h05;Curso Prático;Estudos;Exercícios práticos de contabilidade
Quinta-Feira;12:35;13:00;0h25;Deslocamento;Deslocamento;Caminhada para o trabalho
Quinta-Feira;13:00;18:00;5h00;Trabalho;Trabalho;Primeiro turno
Quinta-Feira;18:00;19:00;1h00;Janta;Alimentação;Pausa de janta no trabalho
Quinta-Feira;19:00;21:00;2h00;Trabalho;Trabalho;Segundo turno até 21h
Quinta-Feira;21:00;21:25;0h25;Deslocamento;Deslocamento;Volta para casa a pé
Quinta-Feira;21:30;22:45;1h15;Banho e Descanso;Pessoal;Banho e descompressão
Quinta-Feira;23:00;00:30;1h30;Namorada;Relacionamento;Visita e ligação
Quinta-Feira;00:45;07:00;6h15;Dormir;Descanso;Descanso noturno

Sexta-Feira;07:00;07:35;0h35;Acordar;Pessoal;Saída às 07h35 (deslocamento 25 min)
Sexta-Feira;08:00;11:00;3h00;Trabalho;Trabalho;Turno da manhã
Sexta-Feira;11:00;12:00;1h00;Almoço;Alimentação;Pegar marmitas na prefeitura e almoçar às 11h
Sexta-Feira;12:00;18:00;6h00;Trabalho;Trabalho;Turno da tarde
Sexta-Feira;18:15;19:15;1h00;Academia;Saúde;Treino de 1 hora na volta do trabalho
Sexta-Feira;19:15;19:35;0h20;Deslocamento;Deslocamento;Volta para casa a pé
Sexta-Feira;19:35;20:30;0h55;Banho e Janta;Alimentação;Banho e refeição da noite
Sexta-Feira;20:30;22:00;1h30;Faculdade EAD;Estudos;Fechamento semanal das disciplinas
Sexta-Feira;22:00;23:00;1h00;Descanso;Pessoal;Tempo livre
Sexta-Feira;23:00;01:00;2h00;Namorada;Relacionamento;Visita e conversa
Sexta-Feira;01:15;07:00;5h45;Dormir;Descanso;Descanso noturno

Sábado;07:00;07:35;0h35;Acordar;Pessoal;Café da manhã e saída às 07h35
Sábado;08:00;14:00;6h00;Trabalho;Trabalho;Expediente das 08h às 14h
Sábado;14:00;14:25;0h25;Deslocamento;Deslocamento;Volta para casa a pé
Sábado;14:30;18:00;3h30;Faxina da Casa;Casa;Limpeza geral da casa
Sábado;18:00;19:00;1h00;Banho e Preparação;Pessoal;Banho, troca de roupa e saída para a religião
Sábado;19:00;22:00;3h00;Religião;Espiritualidade;Compromisso religioso semanal às 19h
Sábado;22:00;23:59;2h00;Retorno e Janta;Lazer;Volta para casa, refeição e namorada

Domingo;07:30;08:00;0h30;Acordar;Pessoal;Despertar e café
Domingo;08:00;08:50;0h50;Psicóloga;Saúde Mental;Sessão quinzenal
Domingo;09:00;10:00;1h00;Espiritualidade;Espiritualidade;Momento de espiritualidade
Domingo;10:00;23:59;14h00;Descanso e Lazer;Lazer;Dia livre, namorada e descanso
